date,close,high,low,open,volume,stock
2025-09-19,245.5,246.3000030517578,240.2100067138672,241.22999572753906,163470300,AAPL
2023-01-03,123.33065032958984,130.89999389648438,124.16999816894533,130.27999877929688,112117500,AAPL
2023-01-04,124.60272216796876,128.66000366210938,125.08000183105467,126.88999938964844,89113600,AAPL
2023-01-05,123.28134155273438,127.7699966430664,124.76000213623048,127.12999725341795,80962700,AAPL
2023-01-06,127.8173599243164,130.2899932861328,124.88999938964844,126.01000213623048,87754700,AAPL
2023-01-09,128.33998107910156,133.41000366210938,129.88999938964844,130.47000122070312,70790800,AAPL
2023-01-10,128.91192626953125,131.25999450683594,128.1199951171875,130.25999450683594,63896200,AAPL
2023-01-11,131.633544921875,133.50999450683594,130.4600067138672,131.25,69458900,AAPL
2023-01-12,131.55467224121094,134.25999450683594,131.44000244140625,133.8800048828125,71379600,AAPL
2023-01-13,132.8859100341797,134.9199981689453,131.66000366210938,132.02999877929688,57809700,AAPL
2023-01-17,134.0494842529297,137.2899932861328,134.1300048828125,134.8300018310547,63646600,AAPL
2023-01-18,133.32965087890625,138.61000061035156,135.02999877929688,136.82000732421875,69672800,AAPL
2023-01-19,133.38877868652344,136.25,133.77000427246094,134.0800018310547,58280400,AAPL
2023-01-20,135.95260620117188,138.02000427246094,134.22000122070312,135.27999877929688,80223600,AAPL
2023-01-23,139.1475830078125,143.32000732421875,137.89999389648438,138.1199951171875,81760300,AAPL
2023-01-24,140.54782104492188,143.16000366210938,140.3000030517578,140.30999755859375,66435100,AAPL
2023-01-25,139.88714599609375,142.42999267578125,138.80999755859375,140.88999938964844,65799300,AAPL
2023-01-26,141.95794677734375,144.25,141.89999389648438,143.1699981689453,54105100,AAPL
2023-01-27,143.90052795410156,147.22999572753906,143.0800018310547,143.16000366210938,70555800,AAPL
2023-01-30,141.01129150390625,145.5500030517578,142.85000610351562,144.9600067138672,64015300,AAPL
2023-01-31,142.2833709716797,144.33999633789062,142.27999877929688,142.6999969482422,65874500,AAPL
2023-02-01,143.40748596191406,146.61000061035156,141.32000732421875,143.97000122070312,77663600,AAPL
2023-02-02,148.72254943847656,151.17999267578125,148.1699981689453,148.89999389648438,118339000,AAPL
2023-02-03,152.3513641357422,157.3800048828125,147.8300018310547,148.02999877929688,154357300,AAPL
2023-02-06,149.61990356445312,153.10000610351562,150.77999877929688,152.57000732421875,69858300,AAPL
2023-02-07,152.499267578125,155.22999572753906,150.63999938964844,150.63999938964844,83322600,AAPL
2023-02-08,149.80723571777344,154.5800018310547,151.1699981689453,153.8800048828125,64120100,AAPL
2023-02-09,148.77183532714844,154.3300018310547,150.4199981689453,153.77999877929688,56007100,AAPL
2023-02-10,149.1372528076172,151.33999633789062,149.22000122070312,149.4600067138672,57450700,AAPL
